Date,Open,High,Low,Close,Volume
2021-02-27,1.39759,1.39807,1.39144,1.39244,40860
2021-03-01,1.3929,1.3999,1.39039,1.39364,91281
2021-03-02,1.39363,1.39561,1.38587,1.39478,98476
2021-03-03,1.39478,1.40061,1.39207,1.39742,110633
2021-03-04,1.3974,1.39983,1.39159,1.39912,128489
2021-03-05,1.39913,1.40171,1.37784,1.38161,178704
2021-03-06,1.38157,1.38536,1.37942,1.38357,36039
2021-03-08,1.38114,1.38654,1.37999,1.38114,101598
2021-03-09,1.38118,1.39253,1.38016,1.38928,114864
2021-03-10,1.38927,1.39343,1.38453,1.39029,103128
2021-03-11,1.39032,1.39797,1.38799,1.39678,100319
2021-03-12,1.39679,1.40045,1.38632,1.3895,100771
2021-03-13,1.38949,1.39351,1.38852,1.39129,20690
2021-03-15,1.39143,1.39495,1.3853,1.38623,72403
2021-03-16,1.38619,1.39043,1.38089,1.389,80852
2021-03-17,1.38898,1.39293,1.3867,1.3887,80666
2021-03-18,1.38866,1.40012,1.38506,1.39372,129245
2021-03-19,1.3937,1.39591,1.38301,1.38706,103964
2021-03-20,1.38707,1.3886,1.38583,1.38662,18002
2021-03-22,1.3835,1.38767,1.38174,1.38537,55408
2021-03-23,1.38539,1.38713,1.37512,1.37932,76007
2021-03-24,1.3793,1.37934,1.36738,1.3722,85532
2021-03-25,1.3722,1.37413,1.367,1.37218,83534
2021-03-26,1.37217,1.38123,1.37162,1.37914,70933
2021-03-27,1.37917,1.37996,1.37758,1.37855,16325
2021-03-29,1.37904,1.38469,1.37564,1.37931,63315
2021-03-30,1.37932,1.37973,1.37058,1.3728,79297
2021-03-31,1.37282,1.38089,1.37127,1.37933,75114
2021-04-01,1.37933,1.3834,1.37457,1.38241,79589
2021-04-02,1.38238,1.38521,1.38095,1.3822,39950
2021-04-03,1.38218,1.38402,1.38107,1.38272,98646
2021-04-05,1.3821,1.39133,1.38126,1.39062,42027
2021-04-06,1.39061,1.39186,1.38173,1.38479,71420
2021-04-07,1.38477,1.38492,1.37281,1.37553,91082
2021-04-08,1.37553,1.37822,1.37185,1.37375,72066
2021-04-09,1.37376,1.37503,1.36696,1.37309,72523
2021-04-10,1.37308,1.37338,1.36979,1.37054,9812
2021-04-12,1.37025,1.37766,1.36689,1.37401,55166
2021-04-13,1.37402,1.37688,1.36941,1.37412,73513
2021-04-14,1.37413,1.38085,1.37359,1.3789,65495
2021-04-15,1.37889,1.38088,1.37612,1.37792,68393
2021-04-16,1.37793,1.38266,1.37159,1.38242,76032
2021-04-17,1.38245,1.38437,1.38167,1.38261,8358
2021-04-19,1.3828,1.39926,1.38094,1.39762,82089
2021-04-20,1.39761,1.40089,1.39332,1.39533,67518
2021-04-21,1.39535,1.39544,1.38853,1.39346,65391
2021-04-22,1.39343,1.39495,1.38267,1.38485,70110
2021-04-23,1.38485,1.38952,1.38234,1.38432,74299
2021-04-24,1.38433,1.38898,1.38433,1.38736,11374
2021-04-26,1.38668,1.39292,1.38642,1.38896,60431
2021-04-27,1.38896,1.39239,1.38582,1.39071,63438
2021-04-28,1.39073,1.39232,1.38607,1.39152,69214
2021-04-29,1.39152,1.39764,1.38894,1.39542,85897
2021-04-30,1.39541,1.39581,1.38069,1.38361,80307
2021-05-01,1.38363,1.38417,1.38023,1.38077,16791
2021-05-03,1.38116,1.39315,1.38008,1.39114,54770
2021-05-04,1.39112,1.39146,1.38382,1.38715,90664
2021-05-05,1.38713,1.3926,1.38691,1.39121,69028
2021-05-06,1.39121,1.39405,1.38569,1.38789,85752
2021-05-07,1.38789,1.40002,1.38776,1.39996,93148
2021-05-08,1.39998,1.40056,1.39713,1.39811,17983
2021-05-10,1.40035,1.41582,1.39938,1.4151,71593
2021-05-11,1.41512,1.41578,1.41036,1.41478,84972
2021-05-12,1.41479,1.41665,1.408,1.40806,107062
2021-05-13,1.40806,1.40828,1.40053,1.4031,106008
2021-05-14,1.4031,1.41108,1.40156,1.40946,79043
2021-05-15,1.40945,1.41037,1.40855,1.40945,10506
2021-05-17,1.40956,1.41289,1.40769,1.41258,64264
2021-05-18,1.41257,1.422,1.41247,1.41827,68622
2021-05-19,1.4183,1.42004,1.41299,1.41678,86560
2021-05-20,1.41678,1.41829,1.40995,1.41803,88326
2021-05-21,1.41803,1.42336,1.41545,1.41558,95138
2021-05-22,1.41557,1.416,1.41401,1.41409,10559
2021-05-24,1.41468,1.41714,1.4111,1.41463,62258
2021-05-25,1.41463,1.42107,1.41153,1.41221,77202
2021-05-26,1.41223,1.41758,1.41161,1.41286,79280
2021-05-27,1.41286,1.41956,1.40913,1.41712,93486
2021-05-28,1.41714,1.42188,1.4136,1.41875,97454
2021-05-29,1.41874,1.41996,1.41834,1.41834,16841
2021-05-31,1.41793,1.42176,1.41636,1.42123,51362
2021-06-01,1.42122,1.42491,1.4155,1.41668,93685
2021-06-02,1.41667,1.4183,1.41115,1.41759,87077
2021-06-03,1.41759,1.42026,1.40915,1.4099,117467
2021-06-04,1.40989,1.42002,1.40827,1.41732,101495
2021-06-05,1.4173,1.41751,1.41549,1.41553,10320
2021-06-07,1.41544,1.41851,1.4111,1.41768,71012
2021-06-08,1.41768,1.41906,1.41207,1.41461,82193
2021-06-09,1.41461,1.4189,1.4114,1.41232,67235
2021-06-10,1.41232,1.41713,1.4073,1.41644,105846
2021-06-11,1.41642,1.41851,1.41046,1.41124,87472
2021-06-12,1.41122,1.41183,1.40953,1.41056,11221
2021-06-14,1.40994,1.41237,1.40699,1.41149,63844
2021-06-15,1.41147,1.41286,1.40341,1.40723,78160
2021-06-16,1.40724,1.41324,1.40702,1.41084,74363
2021-06-17,1.41083,1.41134,1.39086,1.39151,151959
2021-06-18,1.39152,1.3944,1.37949,1.38156,126850
2021-06-19,1.38156,1.38328,1.37914,1.38003,23521
2021-06-21,1.38068,1.39189,1.37859,1.39135,102518
2021-06-22,1.39137,1.39369,1.386,1.39199,87861
2021-06-23,1.39197,1.40011,1.39189,1.39757,87934
2021-06-24,1.39758,1.39863,1.38892,1.39063,97631
2021-06-25,1.39063,1.39388,1.38906,1.38976,78979
2021-06-26,1.38976,1.3908,1.38711,1.38779,11403
2021-06-28,1.38794,1.39393,1.38744,1.38948,62096
2021-06-29,1.38947,1.38948,1.38137,1.38441,75407
